"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2017","54.95","54.95","54.95","54.95","","0.94%"
"02/28/2017","54.44","54.44","54.44","54.44","","0.02%"
"02/27/2017","54.43","54.43","54.43","54.43","","0.09%"
"02/24/2017","54.38","54.38","54.38","54.38","","-0.06%"
"02/23/2017","54.41","54.41","54.41","54.41","","0.26%"
"02/22/2017","54.27","54.27","54.27","54.27","","-0.28%"
"02/21/2017","54.42","54.42","54.42","54.42","","0.37%"
"02/17/2017","54.22","54.22","54.22","54.22","","0.18%"
"02/16/2017","54.12","54.12","54.12","54.12","","-0.04%"
"02/15/2017","54.14","54.14","54.14","54.14","","-0.24%"
"02/14/2017","54.27","54.27","54.27","54.27","","0.44%"
"02/13/2017","54.03","54.03","54.03","54.03","","-1.03%"
"02/10/2017","54.59","54.59","54.59","54.59","0.10K","0.89%"
"02/09/2017","54.11","54.11","54.11","54.11","","0.71%"
"02/08/2017","53.73","53.73","53.73","53.73","","-0.32%"
"02/07/2017","53.90","53.90","53.90","53.90","","-0.65%"
"02/06/2017","54.25","54.25","54.25","54.25","","-1.52%"
"02/03/2017","55.09","55.09","55.09","55.09","","0.79%"
"02/02/2017","54.66","54.66","54.66","54.66","","0.40%"
"02/01/2017","54.44","54.44","54.44","54.44","","1.34%"
"01/31/2017","53.72","53.72","53.72","53.72","","-0.04%"
"01/30/2017","53.74","53.74","53.74","53.74","","-0.04%"
"01/27/2017","53.76","53.76","53.76","53.76","0.20K","-0.07%"
"01/26/2017","53.80","53.80","53.80","53.80","","0.24%"
"01/25/2017","53.67","53.67","53.67","53.67","","-0.06%"
"01/24/2017","53.70","53.70","53.70","53.70","","0.11%"
"01/23/2017","53.64","53.64","53.64","53.64","0.20K","-0.19%"
"01/20/2017","53.74","53.74","53.74","53.74","","0.81%"
"01/19/2017","53.31","53.31","53.31","53.31","","0.38%"
"01/18/2017","53.11","53.11","53.11","53.11","","-1.08%"
